Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
1;10101-4M426-M-T;aaaaa;EMPAQUE MOTOR NIS.QG13DE/16V. 98- METAL;KANSAI;;NISSAN;JGO;;0,00
2;10101-8M085-M-T;;EMPAQUE MOTOR NIS.QG16DE/2.0/16V.METAL;KANSAI;TW.;NISSAN;JGO;;0,00
3;MB-500812-J;HN-172L/D349/AN233WK;PASTILLA FRENO DEL.MIT.4G54/4D55/4D56/L200 MONTERO/DELICA  89-94;FBK;JAPON;MITSUBISHI;JGO;9x127.5x49      HN-172L/D349/AN233WK;0,00
4;13101-73030-050;46.122;PISTON TOY.4Y  91MM  1.5X1.5X4;IZUMI/TEIKIN/NPC/TOTO;JAPON;TOYOTA;JGO;050                             46122;0,00
5;13041-38070-STD;R749A;CASQ.BIELA TOY.1UR-FE/2URGSE/URJ20/4.6/V8 L/CRUISER;TAHIO;JAPON;TOYOTA;JGO;STD                             R749A;0,00
6;10101-1E125-LAN;PFS0209;EMPAQUE MOTOR NIS.KA24DE/16V.93- ALTIMA;LANDSTAR;USA;NISSAN;JGO;T/Vx3M/LxS/H;0,00
7;11044-3S500;11044-70F00-NGC/EG9016;EMPAQUE CULATA NIS.KA24DE/KA20/16V. 97-  ok*  CABEZON;LAN/KAN/ERI/NGC*;USA;NISSAN;PZA;CABEZON           EG9016;0,00
8;11044-Z5566-KJ-MT;OEM;EMPAQUE CULATA NIS.FE6TA/24V.  METAL S/GOMA MAS HUECOS/REFRIG.;KANSAI/OEM;TW;NISSAN;PZA;EXACTO 24V.;0,00
9;SPG-1;;PLASTIGAGE     SPG-1 GASOLINA VERDE;FEDERAL MOGUL;USA;VARIOS;PZA;SPG-1;0,00
10;SPR-1;;PLASTIGAGE     SPR-1   DIESEL ROJO;FEDERAL MOGUL;USA;VARIOS;PZA;SPR-1;0,00
11;11122-31050;;GUIA VALV.IN TOY.1GR/V6/4.0/1ZR/2ZR/1.8 COROLLA 08-;DOK/BEN/ROC;JAPON;TOYOTA;PZA;5.5x10.2x41.5;0,00
12;23220-28090;GIP-535/50L/HR/300KPA;BOMBA SUMERJIBLE GAS.TOY.2AZ/1AZ/1GR/1TR/3RZ/2TR/1TR/5VZ;HKT;JAPON;TOYOTA;PZA;38x54x70                     GIP-535/50L/HR/300KPA;0,00
13;21082-EA200-T;;AUTOMATICO VENTILADOR NIS.VQ40/QR40DE/4.0/V6/R51M/FRONTIER/PATHFINDER;NGC;JP;NISSAN;PZA;32x49.5x67x123x171x46ALTO  N-111F;0,00
14;47207-37020;SM-1515/105-11515;BOMBA FRENO TOY.2UZ/XZU300-340/414/424 1-1/16 NEW HIDRAULICO S/T;SEIKEN/JKC;JAPON;TOYOTA;PZA;4PERx105x2SAL/Ax1-1/16xHID;0,00
15;MD-307487-M;187XY32-SA/A589YU32MM;CORREA DIST.187D MIT.6G72/6G73/V6/3.0 SPORT/DELICA;MITSUBOSHI;JAPON;MITSUBISHI;PZA;187D                187XY32-SA/A589YU32MM;0,00
16;44200-0K040-S;44-200-0K020-S-102$u$;CREMALLERA TOY.2TR/2.7/VIGO/HILUX  0k*;TOMITA*;TW;TOYOTA;PZA;;3.982,57
17;56.026.200;QUEZADA;EMPAQUE TAPA VALANCIN NIS.KA24DE/KA20DE/16V.  97-;AJUSA;SPAIN;NISSAN;PZA;;0,00
18;48655-60050;;BUJE TIJERAL INF.TOY.PRADO/4RUNNER/TACOMA 02-15 GRANDE;TZK**;JAPON;TOYOTA;PZA;16x59x59                48655-60050;0,00
19;JPK-F225;40X56X65X20;RETEN VARIOS;JPK;JP;VARIOS;PZA;40X56X65X20          JPK-F225;0,00
20;MD92-S/F;6.682;CAMISAS NIS.MD92 125MM S/F C/SEJA;NW IZUMI;JAPON;NISSAN;JGO;123.5X129X135X205  125MM;0,00
21;MD92-F/F;2027021NS0001-CHILE;CAMISAS NIS.MD92 125MM F/F C/SEJA;NW IZUMI;JAPON;NISSAN;JGO;125X129X135X205 125MM;0,00
22;30610-R8000-T;FIERRO;BOMBA EMBRAGUE NIS.Z24/D21 5/8  (DIAG-CORTO) URVAN T/BAJO  S/RH  FIERRO;JT;TW;NISSAN;PZA;FIERRO-S/RH;0,00
23;30610-U7500-T;FIERRO;BOMBA EMBRAGUE NIS.A12/L16   5/8   RECTO   UNIV. FIERRO;JT;TW;NISSAN;PZA;FIERRO;0,00
24;MD-723202;F4090/NJ-611;RETEN CAJA MIT.4G54;MUS/NOK/NGC/JPK;JAPON;MITSUBISHI;PZA;30x45x6               F4090/NJ-611;0,00
25;90916-03102;ZB73-82/WV73-82;TERMOSTATO TOY.14B/15B/3B/13B    95-;HKT/TAMA;JAPON;TOYOTA;PZA;ZB73-82/WV73-82;0,00
26;23100-BZ010;GIP-517/90L/HR300KPÀ;BOMBA SUMERJIBLE GAS.DAI.K3VE/TOY.3SZVE 06- GA15/GA16/SR18/KA24 E/ANCHO;HKT;JAPON;TOYOTA;PZA;38x66.5x108/E/ANCHO       GIP-517/90L/HR300KPÀ;0,00
27;27;;CHICLERAS  EN GRAL.50-80-105-115-130-90-168-55 VARIOS;ARG.;ARG.;VARIOS;PZA;varios;0,00
